Time (s),Bulb Response Voltage (V),Source Voltage (V)
8e-05,1.6316959999999998,0.33701006
9e-05,1.64174625,0.33701006
0.0001,1.6357161,0.13600503
0.00011,1.61762565,0.13600503
0.00012,1.6397362000000002,0.33701006
0.00013000000000000002,1.6357161,0.2867588
0.00014,1.6196357,0.33701006
0.00015,1.60958545,0.48776383
0.00016,1.6075754,0.53801508
0.00017,1.62968595,0.38726131
0.00018,1.6075754,0.53801508
0.00019,1.6357161,0.53801508
0.0002,1.6397362000000002,0.53801508
0.00021,1.6196357,0.68876885
0.00022,1.6236558,0.6385175999999999
0.00023,1.59752515,0.58826634
0.00024,1.6075754,0.53801508
0.00025,1.6115955,0.68876885
0.00026000000000000003,1.6035553,0.6385175999999999
0.00027,1.58546485,0.73902011
0.00028,1.5834548000000002,0.73902011
0.00029,1.61762565,0.73902011
0.0003,1.6075754,0.73902011
0.00031,1.6075754,0.94002514
0.00032,1.591495,0.73902011
0.00033,1.60154525,0.78927137
0.00034,1.6035553,0.83952262
0.00035,1.60958545,0.94002514
0.00036,1.5834548000000002,1.14103016
0.00037,1.61360555,1.14103016
0.00038,1.5874749,1.14103016
0.00039,1.57742464,1.14103016
0.0004,1.57541459,0.94002514
0.00041,1.57139449,1.14103016
0.00042,1.5834548000000002,1.14103016
0.00043,1.5834548000000002,0.94002514
0.00044,1.591495,1.14103016
0.00045,1.57943469,1.19128142
0.00046,1.5955151,1.34203519
0.00047,1.57139449,1.29178393
0.00048,1.57541459,1.14103016
0.00049,1.5834548000000002,1.34203519
0.0005,1.55129399,1.34203519
0.0005099999999999999,1.58144474,1.49278896
0.0005200000000000001,1.5834548000000002,1.54304022
0.00053,1.57541459,1.54304022
0.00054,1.57943469,1.64354273
0.00055,1.59752515,1.74404524
0.00056,1.591495,1.94505027
0.00057,1.58948495,1.74404524
0.00058,1.56335429,1.74404524
0.00059,1.55129399,1.54304022
0.0006,1.55129399,1.94505027
0.00061,1.55531409,2.04555278
0.00062,1.54325379,1.94505027
0.00063,1.54928394,1.89479901
0.00064,1.53521359,2.1460553
0.00065,1.52717339,1.94505027
0.00066,1.56737439,1.94505027
0.00067,1.55732414,2.19630655
0.0006799999999999999,1.53521359,1.94505027
0.0006900000000000001,1.56938444,2.29680907
0.0007,1.54727389,2.24655781
0.0007099999999999999,1.54124374,2.1460553
0.00072,1.55933419,2.34706032
0.00073,1.53923369,2.34706032
0.00074,1.53521359,2.34706032
0.00075,1.52918344,2.19630655
0.0007599999999999999,1.54325379,2.54806535
0.0007700000000000001,1.55129399,2.39731158
0.00078,1.56737439,2.44756284
0.00079,1.55531409,2.39731158
0.0008,1.55933419,2.74907038
0.00081,1.52114324,2.54806535
0.00082,1.51511309,2.74907038
0.0008300000000000001,1.52516334,2.74907038
0.00084,1.52717339,2.9500754
